Liszt, Franz;Réminiscences des Puritains de Bellini;24274
Liszt, Franz;Rigoletto de Verdi - Paraphrase de Concert;24275
Liszt, Franz;Rondeau fantastique sur un thème espagnol;24276
Liszt, Franz;Die Rose, Lied von Franz Schubert;24277
Liszt, Franz;Le rossignol;24278
Liszt, Franz;Les Sabéennes - Berceuse de l'opéra « La Reine de Saba » de Charles Gounod;24279
Liszt, Franz;Salve Maria de l'opéra « Jérusalem » (I Lombardi) de Verdi;24280
Liszt, Franz;Sarabande und Chaconne aus dem Singspiel &quot;Almira&quot; von Händel ;24281
Liszt, Franz;Carl Maria von Webers Schlummerlied mit Arabesken;24282
Liszt, Franz;Ungarischer Sturmmarsch;24283
Liszt, Franz;La Serenata e l'Orgia. Grande fantaisie sur des motifs des Soirées musicales de Rossini;24284
Liszt, Franz;Siegesmarsch;24285
Liszt, Franz;Soirées de Vienne - Valses-caprices d'après François Schubert;24286
Liszt, Franz;Soirées italiennes: six amusements sur des motifs de Mercadante;24287
Liszt, Franz;Soirées musicales de Rossini;24288
Liszt, Franz;3 Sonetti del Petrarca;24289
Liszt, Franz;Spinnerlied aus Der fliegende Holländer von Richard Wagner;24290
Liszt, Franz;Die stille Wasserrose;24291
Liszt, Franz;Zwei stücke aus Richard Wagners Tannhäuser und Lohengrin für das Pianoforte;24292
Liszt, Franz;Symphony No.9 in D minor;24293
Liszt, Franz;Tarantelle di bravura d'après la Tarantelle de « La Muette de Portici » d'Auber;24294
Liszt, Franz;Tasso: Lamento e Trionfo;24295
Liszt, Franz;Technische Studien;24296
Liszt, Franz;Totentanz;24297
Liszt, Franz;2 Transcriptions d'après Rossini;24298
Liszt, Franz;Der traurige Mönch;24299
Liszt, Franz;Le Triomphe funèbre du Tasse;24300
Liszt, Franz;Trübe Wolken ;24301
Liszt, Franz;Tscherkessenmarsch aus Glinkas Oper Rußlan und Ludmilla;24302
Liszt, Franz;Über allen Gipfeln ist Ruh;24303
Liszt, Franz;Und sprich;24304
